,0
0,0
1,0
2,0
3,0
4,0
5,0
6,1
7,0
8,1
9,1
10,1
11,1
12,0
13,0
14,0
15,0
16,0
17,0
18,1
19,0
20,0
21,0
22,1
23,0
24,1
25,0
26,1
27,0
28,1
29,1
30,0
31,0
32,1
33,0
34,0
35,1
36,1
37,0
38,0
39,0
40,1
41,0
42,1
43,1
44,0
45,0
46,1
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,1
56,0
57,1
58,0
59,0
60,0
61,1
62,1
63,1
64,1
65,1
66,0
67,0
68,1
69,0
70,0
71,0
72,1
73,0
74,1
75,0
76,0
77,1
78,1
79,1
80,0
81,0
82,0
83,1
84,1
85,1
86,1
87,1
88,0
89,0
90,0
91,0
92,1
93,1
94,1
95,0
96,0
97,0
98,1
99,0
100,1
101,0
102,1
103,0
104,0
105,0
106,0
107,1
108,0
109,0
110,0
111,0
112,0
113,0
114,0
115,0
116,0
117,1
118,1
119,0
120,0
121,1
122,1
123,0
124,1
125,0
126,0
127,1
128,0
129,0
130,0
131,1
132,0
133,0
134,1
135,0
136,0
137,0
138,0
139,1
140,0
141,0
142,0
143,0
144,0
145,0
146,0
147,0
148,0
149,0
150,0
151,1
152,0
153,1
154,0
155,0
156,1
157,1
158,1
159,0
160,0
161,1
162,1
163,1
164,0
165,0
166,0
167,0
168,0
169,0
170,1
171,0
172,0
173,1
174,0
175,0
176,0
177,1
178,0
179,0
180,1
181,1
182,0
183,0
184,0
185,1
186,0
187,1
188,0
189,1
190,0
191,0
192,0
193,0
194,0
195,0
196,0
197,0
198,1
199,1
200,1
201,0
202,1
203,0
204,0
205,0
206,0
207,0
208,0
209,0
210,0
211,1
212,0
213,0
214,0
215,0
216,1
217,0
218,1
219,1
220,1
221,0
222,0
223,1
224,1
225,0
226,0
227,1
228,1
229,1
230,0
231,1
232,1
233,1
234,1
235,0
236,1
237,0
238,0
239,0
240,0
241,0
242,0
243,1
244,0
245,0
246,0
247,0
248,0
249,0
250,1
251,0
252,0
253,0
254,0
255,0
256,1
257,0
258,0
259,0
260,1
261,1
262,0
263,0
264,0
265,1
266,1
267,0
268,1
269,0
270,1
271,1
272,0
273,0
274,0
275,1
276,1
277,0
278,0
279,1
280,1
281,1
282,0
283,0
284,1
285,0
286,0
287,1
288,0
289,1
290,0
291,1
292,1
293,0
294,0
295,0
296,1
297,0
298,0
299,1
300,0
301,1
302,0
303,0
304,0
305,0
306,0
307,1
308,1
309,0
310,0
311,0
312,1
313,0
314,0
315,0
316,0
317,0
318,0
319,1
320,1
321,1
322,0
323,0
324,0
325,0
326,0
327,0
328,0
329,0
330,0
331,1
332,0
333,0
334,0
335,0
336,1
337,1
338,0
339,0
340,0
341,0
342,1
343,0
344,0
345,1
346,0
347,1
348,1
349,0
350,0
351,0
352,0
353,1
354,0
355,1
356,0
357,1
358,1
359,1
360,1
361,0
362,1
363,0
364,0
365,1
366,0
367,0
368,1
369,0
370,1
371,0
372,1
373,0
374,1
375,1
376,0
377,1
378,1
379,0
380,0
381,0
382,0
383,0
384,0
385,0
386,1
387,0
388,1
389,0
390,1
391,0
392,0
393,0
394,0
395,0
396,0
397,0
398,0
399,1
400,0
401,0
402,1
403,0
404,1
405,1
406,0
407,1
408,1
409,0
410,0
411,1
412,1
413,1
414,0
415,0
416,0
417,1
418,0
419,1
420,1
421,0
422,0
423,0
424,0
425,1
426,0
427,0
428,0
429,0
430,1
431,0
432,0
433,0
434,1
435,1
436,0
437,1
438,0
439,0
440,0
441,0
442,0
443,1
444,0
445,0
446,1
447,0
448,0
449,1
450,0
451,0
452,0
453,1
454,1
455,0
456,1
457,1
458,0
459,0
460,1
461,1
462,0
463,0
464,1
465,1
466,0
467,0
468,1
469,1
470,0
471,1
472,0
473,0
474,1
475,1
476,0
477,0
478,0
479,0
480,0
481,1
482,1
483,0
484,0
485,0
486,0
487,1
488,1
489,0
490,1
491,0
492,1
493,1
494,0
495,0
496,0
497,0
498,0
499,1
500,0
501,0
502,0
503,0
504,0
505,0
506,0
507,0
508,0
509,0
510,1
511,0
512,0
513,0
514,1
515,0
516,0
517,0
518,0
519,0
520,0
521,0
522,0
523,0
524,0
525,0
526,1
527,0
528,1
529,0
530,0
531,1
532,1
